"Work Item Type","Title","Description","Area Path","Iteration Path","Tags"
"Epic","E01 Market Experience and Localization","Deliver correct market, language, currency, RTL and accessible presentation for Egypt and the UK.","MGParts","MGParts","MGParts-MVP; BA-E01"
"Epic","E02 Vehicle Catalog and Fitment","Enable vehicle-led catalog browsing and explicit compatibility decisions.","MGParts","MGParts","MGParts-MVP; BA-E02"
"Epic","E03 Search, Discovery and Knowledge","Provide multilingual part discovery and a versioned RAG-ready knowledge layer.","MGParts","MGParts","MGParts-MVP; BA-E03"
"Epic","E04 Product, Price and Inventory","Provide rich product variants with deterministic price, stock and quantity behavior.","MGParts","MGParts","MGParts-MVP; BA-E04"
"Epic","E05 Cart, COD Checkout and Orders","Deliver an anonymous cash-on-delivery customer journey and secure order lookup.","MGParts","MGParts","MGParts-MVP; BA-E05"
"Epic","E06 Operations, Data and Test Controls","Provide resettable fixtures, observability, fault controls, contracts and protected operator tooling.","MGParts","MGParts","MGParts-MVP; BA-E06"
"Epic","E07 Quality Engineering and AI Evaluation","Automate functional, non-functional, RAG and agent quality gates.","MGParts","MGParts","MGParts-MVP; BA-E07"
"Feature","F01 Market, language and currency context","Market/locale/currency context and deterministic quote conversion. Parent: E01.","MGParts","MGParts","MGParts-MVP; BA-F01; BA-E01"
"Feature","F02 RTL, responsive and accessible storefront","RTL, responsive layouts, accessibility semantics and stable automation identifiers. Parent: E01.","MGParts","MGParts","MGParts-MVP; BA-F02; BA-E01"
"Feature","F03 Anonymous vehicle context","Model, year and engine selection persisted in the anonymous journey. Parent: E02.","MGParts","MGParts","MGParts-MVP; BA-F03; BA-E02"
"Feature","F04 Catalog taxonomy and browsing","Localized stable category hierarchy, results and pagination. Parent: E02.","MGParts","MGParts","MGParts-MVP; BA-F04; BA-E02"
"Feature","F05 Fitment and part relationships","Explicit fitment status and alternative/superseded/related part links. Parent: E02.","MGParts","MGParts","MGParts-MVP; BA-F05; BA-E02"
"Feature","F06 Search, filter and sort","Multilingual text/reference search with refinements and diagnostics. Parent: E03.","MGParts","MGParts","MGParts-MVP; BA-F06; BA-E03"
"Feature","F07 Versioned knowledge and retrieval","Versioned bilingual sources, chunks, retrieval and golden cases. Parent: E03.","MGParts","MGParts","MGParts-MVP; BA-F07; BA-E03; RAG"
"Feature","F08 Product detail and variants","Localized product detail plus genuine, OE-equivalent and aftermarket variants. Parent: E04.","MGParts","MGParts","MGParts-MVP; BA-F08; BA-E04"
"Feature","F09 Deterministic price, stock and quantity rules","Versioned money, inventory and quantity/reconciliation behavior. Parent: E04.","MGParts","MGParts","MGParts-MVP; BA-F09; BA-E04"
"Feature","F10 Anonymous cart and reconciliation","Persistent server-quoted cart with explicit conflict resolution. Parent: E05.","MGParts","MGParts","MGParts-MVP; BA-F10; BA-E05"
"Feature","F11 Guest COD checkout","Market-aware guest address, shipping/tax quote and cash order submission. Parent: E05.","MGParts","MGParts","MGParts-MVP; BA-F11; BA-E05"
