"ID","Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Priority","State","Area Path","Iteration Path","Tags"
"2","Epic","E01 Market Experience and Localization","","","Deliver correct market, language, currency, RTL and accessible presentation for Egypt and the UK.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E01"
"9","Feature","","F01 Market, language and currency context","","Market/locale/currency context and deterministic quote conversion. Parent: E01.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F01; BA-E01"
"26","User Story","","","US001 Select Egypt or UK market","Apply and persist explicit EG/GB market context and revalidate dependent state. Parent: F01. Requirements: FR-001, FR-006.","Context persists; changing market revalidates vehicle/cart; API exposes `EG`/`GB`.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US001; BA-F01; Priority-1"
"27","User Story","","","US002 Switch Arabic and English without losing state","Retain page, vehicle and cart while updating language/direction and enforcing translation completeness. Parent: F01. Requirements: FR-002, FR-003, FR-007.","Page/vehicle/cart remain; document language/direction change; no untranslated key is visible.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US002; BA-F01; Priority-1"
"28","User Story","","","US003 Display EGP GBP USD or EUR","Apply market defaults and versioned FX/rounding without changing the active market. Parent: F01. Requirements: FR-004–FR-005, FR-037–FR-038.","Market defaults apply; currency switch does not change market; quote exposes FX snapshot and rounding.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US003; BA-F01; Priority-1"
"10","Feature","","F02 RTL, responsive and accessible storefront","","RTL, responsive layouts, accessibility semantics and stable automation identifiers. Parent: E01.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F02; BA-E01"
"29","User Story","","","US004 Render critical Arabic journeys in RTL","Mirror meaningful direction while preserving readable numbers/references at target widths. Parent: F02. Requirements: FR-003, NFR-006.","Layout/control direction is mirrored where meaningful; mixed numbers/references remain readable at target widths.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US004; BA-F02; Priority-1"
"30","User Story","","","US005 Complete the journey with keyboard and assistive technology","Meet agreed WCAG checks with semantic controls, focus, errors, status and stable test IDs. Parent: F02. Requirements: NFR-005, testability contract.","Semantic controls, focus, errors and status announcements meet agreed WCAG checks; stable test IDs exist.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US005; BA-F02; Priority-1"
"3","Epic","E02 Vehicle Catalog and Fitment","","","Enable vehicle-led catalog browsing and explicit compatibility decisions.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E02"
"11","Feature","","F03 Anonymous vehicle context","","Model, year and engine selection persisted in the anonymous journey. Parent: E02.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F03; BA-E02"
"31","User Story","","","US006 Select MG model year and engine","Offer valid fixture combinations and allow an intentionally ambiguous incomplete vehicle. Parent: F03. Requirements: FR-010, FR-032.","Only valid seeded combinations are offered; incomplete engine data can result in ambiguous fitment.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US006; BA-F03; Priority-1"
"32","User Story","","","US007 Persist or safely change selected vehicle","Show vehicle context everywhere and flag affected cart lines without deleting them. Parent: F03. Requirements: FR-011–FR-012, FR-045.","Selection appears on results/product pages; cart lines are re-evaluated and flagged, never silently deleted.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US007; BA-F03; Priority-1"
